Depth [m],SSTR [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
483.50455,-36.0886,-1.0209
484.52548,-36.57,-0.1912
485.54645,-36.2769,-0.6457
486.56738,-38.9857,-5.0297
487.58835,-36.4992,-1.1739
488.60931,-37.0401,-1.9258
489.63025,-36.512,-1.3254
490.65121,-36.4383,-0.4659
491.67215,-36.4355,-0.9572
492.69312,-36.2684,-0.9459
493.71405,-36.2542,-0.8581
494.73502,-36.8008,-1.2305
495.75595,-36.5488,-1.3282
496.77692,-35.9852,-0.102
497.79788,-35.7416,-0.8893
498.81882,-37.0486,0.8836
499.83978,-35.7898,-2.3478
500.86072,-32.9521,-5.109
501.88168,-35.7714,-2.3605
502.90262,-35.8578,-1.4656
503.92358,-35.7459,-0.6599
504.94452,-35.617,-0.4857
505.96548,-36.1325,-0.7165
506.98645,-36.5374,-0.0722
508.00739,-36.2033,-0.4687
509.02835,-35.8323,-0.9417
510.04929,-35.9753,-0.7505
511.07025,-36.0376,-2.6041
512.09119,-36.8589,0.7618
513.11212,-36.1395,0.4715
514.13312,-34.1727,-2.4681
515.15405,-36.0815,-0.9813
516.17499,-35.7473,-1.0889
517.19598,-36.8787,-1.0238
518.21692,-35.8521,-1.6298
519.23785,-35.8068,-0.5437
520.25879,-0.2492,-1.3112
521.27979,-41.7342,-1.011
522.30072,-36.2104,-1.2914
523.32166,-35.2786,-3.3574
524.34259,-36.0135,1.4146
525.36359,-36.1523,-1.2418
526.38452,-37.7581,0.8864
527.40546,-35.7983,-1.5803
528.42645,-36.216,0.5338
529.44739,-36.0772,-0.8666
530.46832,-7.2542,-1.593
531.48926,-38.6402,-1.4727
532.51025,-34.4701,-4.5539
533.53119,-35.2262,-1.2064
534.55212,-34.732,-1.5392
535.57312,-34.7717,-1.9513
536.59406,-36.9481,-2.1849
537.61499,-35.4882,-2.8419
538.63593,-34.9161,-1.3948
539.65692,-36.0418,-0.9771
540.67786,-35.6524,-1.3863
541.69879,-36.2585,-0.3554
542.71973,-35.3579,-1.8323
543.74072,-1.0224,-1.2772
544.76166,-38.0696,1.7346
545.78259,-36.8801,-0.388
546.80359,-36.8348,-0.9657
547.82452,-34.9685,-1.3693
548.84546,-35.1696,2.1368
549.86639,-38.5199,0.1218
550.88739,-30.6638,-0.7859
551.90833,-35.736,-0.1572
552.92926,-36.3307,-1.3778
553.95026,-35.9017,-0.7916
554.97119,-36.2245,-0.4305
555.99213,-35.5562,-0.9926
557.01306,-35.7813,-0.827
558.03406,-66.4536,-1.1116
559.05499,-36.444,-0.1388
560.07593,-35.6156,-2.3647
561.09686,-36.1466,-2.0037
562.11786,-35.7374,-1.9612
563.13879,-65.3746,-0.7264
564.15973,-35.1243,-1.3778
565.18073,-38.922,-5.497
566.20166,-35.7147,-0.7208
567.2226,-35.9172,-1.5619
568.24353,-36.2047,-0.7222
569.26453,-35.3211,-0.8808
570.28546,-36.2684,-1.3452
571.3064,-36.7782,-0.8836
572.32739,-36.3251,-1.7658
573.34833,-68.4063,-1.1541
574.36926,-9.0823,-0.9176
575.3902,-36.2344,-0.8893
576.41119,-36.3888,-1.0563
577.43213,-36.4525,-0.8
578.45306,-36.5983,-0.2705
579.474,-37.1109,-0.7901
580.495,-36.2656,-0.4191
581.51593,-36.2755,-0.902
582.53687,-36.9056,-2.0065
583.55786,-36.6224,-0.5197
584.5788,-36.2033,-0.9091
585.59973,-36.4638,-0.9827
586.62067,-36.3958,0.2705
587.64166,-36.6691,0.3299
588.6626,-37.1293,-0.1954
589.68353,-35.576,-1.0535
590.70453,-36.5275,-1.0733
591.72546,-36.2089,-0.4432
592.7464,-36.2174,-0.8213
593.76733,-36.6465,-0.9657
594.78833,-36.873,0.7349
595.80927,-36.5247,-1.0988
596.8302,-36.3406,-1.0125
597.85114,-36.6083,-0.7363
598.87213,-36.4624,-0.7477
