Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
250.72748,718.9871,115.902
251.74843,726.8472,151.8403
252.76939,710.3632,94.2068
253.79034,723.4224,136.7975
254.81129,715.0869,81.1886
255.83224,732.5677,180.157
256.85318,712.1494,65.8667
257.87415,720.3878,123.0045
258.89511,710.857,60.8289
259.91605,721.3556,140.1838
260.93701,715.0909,106.6405
261.95795,726.6389,162.6102
262.97891,733.4147,89.8558
263.99985,762.3417,73.614
265.02081,719.3918,137.7622
266.04175,720.1481,127.092
267.06271,722.7842,116.4266
268.08368,731.333,164.423
269.10461,713.1111,94.6897
270.12558,711.4698,61.7635
271.14651,744.4369,230.1316
272.16748,716.124,104.5022
273.18842,922.3737,117.2982
274.20938,713.7882,96.1892
275.23032,721.1957,147.7963
276.25128,774.1031,279.5943
277.27225,713.0665,88.9691
278.29318,720.6826,92.5606
279.31415,793.0983,399.4004
280.33508,779.915,272.7193
281.35605,774.1913,299.624
282.37698,713.41,86.0414
283.39795,854.5652,447.0756
284.41888,711.5004,66.7144
285.43985,903.6107,509.1803
286.46082,716.3767,96.1491
287.48175,782.0461,286.5118
288.50272,722.6857,136.6503
289.52365,716.4229,147.1195
290.54462,1130.0281,106.3825
291.56555,874.1046,90.5797
292.58652,744.4387,225.0986
293.60745,711.6987,75.2556
294.62842,716.7225,134.4567
295.64938,764.623,79.2348
296.67032,730.002,175.8759
297.69128,692.8547,70.3896
298.71222,742.4276,212.9284
299.73318,788.4806,306.1361
300.75412,1028.2125,101.4371
301.77509,721.4377,142.6955
302.79602,723.553,161.1757
303.81699,713.5666,116.7355
304.83795,714.0657,92.1991
305.85889,726.7825,124.8811
306.87985,718.8459,154.1348
307.90079,713.8875,89.841
308.92175,808.7582,391.224
309.94269,867.6675,515.1376
310.96365,751.7507,261.9852
311.98459,717.5206,129.6947
313.00555,714.2473,88.5936
314.02652,869.2242,503.3263
315.04745,1077.6595,162.8881
316.06842,715.392,114.7282
317.08936,715.4088,109.7334
318.11032,717.5054,137.9336
319.13126,707.6849,94.4367
320.15222,859.0164,485.5387
321.17316,741.7545,233.4403
322.19412,724.3439,107.3709
323.21509,731.4244,187.9596
324.23602,732.9011,177.3643
325.25699,734.1228,201.8304
326.27792,720.4042,136.6078
327.29889,717.2648,123.8862
328.31982,733.1606,199.9691
329.34079,730.9713,190.1683
330.36172,723.9636,150.7976
331.38269,729.4619,191.0058
332.40366,717.2504,127.1927
333.42459,873.8058,452.6083
334.44556,716.1224,112.9234
335.46649,716.3922,127.7178
336.48746,710.6041,64.9302
337.50839,711.3766,91.9411
338.52936,739.9215,187.4692
339.55029,711.4705,84.3558
340.57126,715.4418,94.0688
341.59222,793.6382,331.7456
342.61316,737.1237,221.9447
343.63412,731.2808,176.4755
344.65506,713.8124,77.3109
345.67603,722.1509,145.2524
346.69696,713.9648,106.3251
347.71793,773.9523,331.0599
348.73886,725.0753,193.6968
349.75983,825.6061,429.7398
350.78079,720.3682,134.2158
351.80173,712.5635,88.9429
352.82269,709.0972,63.005
353.84363,864.1298,123.1544
354.86459,711.7321,77.2109
355.88553,769.9247,305.4298
356.90649,749.7213,211.7092
357.92743,881.9427,579.8324
358.94839,711.7404,78.3902
359.96936,763.6217,288.6616
360.9903,775.1614,322.6407
362.01126,743.1481,63.6816
363.0322,713.5688,102.0701
364.05316,741.9399,245.7207
365.0741,712.1928,77.5838
366.09506,722.5758,113.5423
367.116,804.7007,400.3811
368.13696,710.5559,58.5138
369.15793,714.5763,105.0424
370.17886,938.0922,667.8654
371.19983,753.4555,267.6077
372.22076,799.3889,395.5793
373.24173,712.3397,86.3923
374.26266,750.259,250.8687
375.28363,752.8777,247.0916
376.30457,733.7357,186.4576
377.32553,714.004,93.6513
378.3465,738.4379,242.3679
379.36743,734.8132,223.2675
380.3884,723.9107,130.9257
381.40933,714.7059,120.657
382.4303,714.3405,90.8999
383.45123,719.3115,116.223
384.4722,844.9771,136.0935
385.49313,904.2715,570.0468
386.5141,717.1194,105.4841
387.53506,715.5136,93.977
388.556,1061.4795,682.1805
389.57697,901.2664,506.1663
390.5979,767.0367,341.5644
391.61887,713.1953,66.9359
392.6398,767.2053,256.5461
393.66077,754.9727,308.1432
394.6817,745.3544,212.3709
395.70267,732.5854,225.1937
396.72363,723.5552,138.9846
397.74457,725.2681,134.453
398.76553,748.4651,225.2324
399.78647,750.959,207.2514
400.80743,727.5193,180.6675
401.82837,724.8998,151.3996
402.84933,848.9886,92.3927
403.87027,736.0106,187.9677
404.89124,735.7062,176.897
405.9122,700.399,68.9992
406.93314,747.4153,253.0129
407.9541,716.2573,108.6808
408.97504,1038.6958,727.6094
409.996,716.8754,84.9657
411.01694,724.4086,146.521
412.0379,715.5887,98.1219
413.05884,730.4142,190.9279
414.0798,721.0128,123.265
415.10077,731.1173,151.8517
416.1217,727.6765,147.1366
417.14267,734.4622,196.1648
418.1636,715.6245,104.6895
419.18457,733.9268,183.0383
420.20551,716.7164,115.8047
421.22647,779.1891,362.2545
422.24741,716.0848,103.9763
423.26837,730.9643,188.2365
424.28934,722.4111,145.542
425.31027,721.0089,123.793
426.33124,721.4663,120.9769
427.35217,754.1482,208.2343
428.37314,759.0266,277.8103
429.39407,759.0597,287.0523
430.41504,738.6572,228.4459
431.43597,755.2214,242.9271
432.45694,713.4992,94.2674
433.47791,714.7814,101.1736
434.49884,719.1479,123.9435
435.51981,818.1916,334.8347
436.54074,730.649,190.1254
437.56171,716.8181,117.744
438.58264,716.1443,111.1082
439.60361,721.5662,139.2724
440.62454,821.2034,442.9642
441.64551,712.8868,66.6255
442.66647,876.2601,558.0867
443.68741,729.2148,154.585
444.70837,720.7285,128.7659
445.72931,711.4487,69.8577
446.75027,753.0201,198.5543
447.77121,728.3854,209.0872
448.79218,870.0195,479.9651
449.81311,713.6816,90.8894
450.83408,714.376,89.9936
451.85504,715.7296,103.0944
452.87598,821.0342,388.8562
453.89694,898.5696,115.8363
454.91788,735.6196,198.1196
455.93884,820.9419,390.2674
456.95978,772.5466,291.9344
457.98074,1011.8997,723.2377
459.00168,721.7068,121.3221
460.02264,730.8123,212.1245
461.04361,714.4257,121.1083
462.06454,789.3881,332.9681
463.08551,987.9036,717.6454
464.10645,840.1014,446.8673
465.12741,791.8757,127.1152
466.14835,773.9164,330.83
467.16931,714.4092,97.8216
468.19025,717.254,111.9702
469.21121,740.6465,186.7527
470.23218,1006.0534,584.7933
471.25311,870.5838,479.0698
472.27408,722.655,134.3426
473.29501,786.3004,348.3591
474.31598,715.3193,100.0555
475.33691,730.0563,179.3491
476.35788,712.5523,87.9759
477.37881,712.653,92.2385
478.39978,712.6956,68.294
479.42075,1703.4124,2009.3097
480.44168,711.1863,53.8305
481.46265,718.3584,114.7961
482.48358,711.9171,58.0071
483.50455,712.1472,73.2775
484.52548,714.2549,105.7534
485.54645,728.8903,187.3858
486.56738,1153.3456,797.0923
487.58835,711.6285,98.5781
488.60931,880.4537,524.4302
489.63025,722.4738,124.2057
490.65121,829.1252,370.4304
491.67215,727.1334,153.3071
492.69312,713.1854,88.0178
493.71405,741.9261,188.3864
494.73502,720.0017,119.6273
495.75595,719.8952,140.0068
496.77692,726.9991,154.48
497.79788,728.2294,146.1811
498.81882,853.5807,502.3159
499.83978,739.0375,179.6061
500.86072,973.6267,664.7914
501.88168,733.1548,214.1256
502.90262,716.0688,90.9281
503.92358,777.0688,288.4241
504.94452,760.8304,254.2498
505.96548,714.2159,90.2974
506.98645,748.0636,208.321
508.00739,714.2875,84.9289
509.02835,722.4417,134.0528
510.04929,719.3926,156.2227
511.07025,762.1204,273.9647
512.09119,766.9714,307.1721
513.11212,733.8324,205.8306
514.13312,774.4476,324.4179
515.15405,728.4117,145.2337
516.17499,714.493,72.1538
517.19598,706.8923,53.7996
518.21692,715.3752,99.7903
