Depth,2023-07-16 05:53:18
421.22647,-37.5995
422.24741,-37.3106
423.26837,-37.2922
424.28934,-37.2412
425.31027,-37.2936
426.33124,-36.6932
427.35217,-37.4239
428.37314,-37.6929
429.39407,-37.5414
430.41504,-38.6997
431.43597,-35.9144
432.45694,-36.638
433.47791,-37.1902
434.49884,-37.1478
435.51981,-35.6185
436.54074,-38.0667
437.56171,-36.7626
438.58264,-37.0755
439.60361,-37.3701
440.62454,-35.5873
441.64551,-37.3262
442.66647,-37.0062
443.68741,-37.169
444.70837,-37.237
445.72931,-37.2101
446.75027,-37.1081
447.77121,-37.8841
448.79218,-39.058
449.81311,-36.9991
450.83408,-36.9113
451.85504,-36.7116
452.87598,-37.1959
453.89694,-16.7444
454.91788,-36.6366
455.93884,-37.5103
456.95978,-36.9198
457.98074,-38.2367
459.00168,-35.8719
460.02264,-36.1027
461.04361,-37.5117
462.06454,-36.0107
463.08551,-32.3106
464.10645,-38.7677
465.12741,-63.8255
466.14835,-34.9289
467.16931,-36.7824
468.19025,-36.7244
469.21121,-36.6762
470.23218,-34.1246
471.25311,-38.1333
472.27408,-36.5134
473.29501,-36.1863
474.31598,-36.6861
475.33691,-37.3474
476.35788,-36.4652
477.37881,-36.6252
478.39978,-36.3194
479.42075,-39.3058
480.44168,-36.3633
481.46265,-37.06
482.48358,-36.2217
483.50455,-36.0886
484.52548,-36.57
485.54645,-36.2769
486.56738,-38.9857
487.58835,-36.4992
488.60931,-37.0401
489.63025,-36.512
490.65121,-36.4383
491.67215,-36.4355
492.69312,-36.2684
493.71405,-36.2542
494.73502,-36.8008
495.75595,-36.5488
496.77692,-35.9852
497.79788,-35.7416
498.81882,-37.0486
499.83978,-35.7898
500.86072,-32.9521
501.88168,-35.7714
502.90262,-35.8578
503.92358,-35.7459
504.94452,-35.617
505.96548,-36.1325
506.98645,-36.5374
508.00739,-36.2033
509.02835,-35.8323
510.04929,-35.9753
511.07025,-36.0376
512.09119,-36.8589
513.11212,-36.1395
514.13312,-34.1727
515.15405,-36.0815
516.17499,-35.7473
517.19598,-36.8787
518.21692,-35.8521
519.23785,-35.8068
520.25879,-0.2492
521.27979,-41.7342
522.30072,-36.2104
523.32166,-35.2786
524.34259,-36.0135
525.36359,-36.1523
526.38452,-37.7581
527.40546,-35.7983
528.42645,-36.216
529.44739,-36.0772
530.46832,-7.2542
531.48926,-38.6402
532.51025,-34.4701
533.53119,-35.2262
534.55212,-34.732
535.57312,-34.7717
536.59406,-36.9481
537.61499,-35.4882
538.63593,-34.9161
539.65692,-36.0418
540.67786,-35.6524
541.69879,-36.2585
542.71973,-35.3579
543.74072,-1.0224
544.76166,-38.0696
545.78259,-36.8801
546.80359,-36.8348
547.82452,-34.9685
548.84546,-35.1696
549.86639,-38.5199
550.88739,-30.6638
551.90833,-35.736
552.92926,-36.3307
553.95026,-35.9017
554.97119,-36.2245
555.99213,-35.5562
557.01306,-35.7813
558.03406,-66.4536
559.05499,-36.444
560.07593,-35.6156
561.09686,-36.1466
562.11786,-35.7374
563.13879,-65.3746
564.15973,-35.1243
565.18073,-38.922
566.20166,-35.7147
567.2226,-35.9172
568.24353,-36.2047
569.26453,-35.3211
570.28546,-36.2684
571.3064,-36.7782
572.32739,-36.3251
573.34833,-68.4063
574.36926,-9.0823
575.3902,-36.2344
576.41119,-36.3888
577.43213,-36.4525
578.45306,-36.5983
579.474,-37.1109
580.495,-36.2656
581.51593,-36.2755
582.53687,-36.9056
583.55786,-36.6224
584.5788,-36.2033
585.59973,-36.4638
586.62067,-36.3958
587.64166,-36.6691
588.6626,-37.1293
589.68353,-35.576
590.70453,-36.5275
591.72546,-36.2089
592.7464,-36.2174
593.76733,-36.6465
594.78833,-36.873
595.80927,-36.5247
596.8302,-36.3406
597.85114,-36.6083
598.87213,-36.4624
599.89307,-37.2044
600.914,-37.169
601.935,-36.6734
602.95593,-36.8674
603.97687,-36.992
604.9978,-36.3392
606.0188,-36.4015
607.03973,-36.907
608.06067,-37.4607
609.08167,-36.9623
610.1026,-36.6564
611.12354,-36.2599
612.14447,-35.3749
613.16547,-71.1123
614.1864,-36.4723
615.20734,-36.5205
616.22827,-36.2642
617.24927,-37.2667
618.2702,-36.7739
619.29114,-36.655
620.31213,-37.2964
621.33307,-36.2911
622.354,-36.9382
623.37494,-35.6199
624.39594,-41.0531
625.41687,-36.8093
626.43781,-36.4298
627.4588,-36.815
628.47974,-36.9708
629.50067,-36.1934
630.52161,-35.9257
631.5426,-36.4284
632.56354,-36.7683
633.58447,-36.9651
634.60541,-36.1424
635.6264,-36.2656
636.64734,-36.6026
637.66827,-37.0869
638.68927,-36.5488
639.71021,-37.1846
640.73114,-37.9082
641.75208,-36.2896
642.77307,-37.0217
643.79401,-36.519
644.81494,-36.8235
645.83594,-37.0515
646.85687,-37.3078
647.87781,-37.0231
648.89874,-37.2058
649.91974,-37.0118
650.94067,-37.1506
651.96161,-36.9226
652.98254,-36.5318
654.00354,-40.3324
655.02448,-37.421
656.04541,-37.6788
657.06641,-37.278
658.08734,-37.3502
659.10828,-37.4989
660.12921,-37.3347
661.15021,-36.9212
662.17114,-37.4154
663.19208,-37.7453
664.21301,-36.8575
665.23401,-35.6652
666.25494,-36.6479
667.27588,-37.2993
668.29688,-36.958
669.31781,-37.1647
670.33875,-36.7003
671.35968,-37.6802
672.38068,-36.4482
673.40161,-36.9056
674.42255,-36.6521
675.44354,-4.7111
676.46448,-35.8521
677.48541,-37.4196
678.50635,-69.2559
679.52734,-36.8405
680.54828,103.6693
681.56921,-36.6083
682.59015,-36.9382
683.61115,-34.361
684.63208,-32.5103
685.65302,-36.9877
686.67401,-16.5093
687.69495,-37.203
688.71588,-36.2967
689.73682,-36.2047
690.75781,-36.4794
691.77875,-36.0532
692.79968,-36.0928
693.82068,-2.9595
694.84161,-37.0019
695.86255,-36.124
696.88348,-36.7159
697.90448,-35.9767
698.92542,-35.1087
699.94635,-38.6501
700.96729,-36.7371
701.98828,-36.2188
703.00922,-36.6196
704.03015,-35.9994
705.05115,-36.2429
706.07208,-36.9736
707.09302,-36.2231
708.11395,-35.6992
709.13495,-36.8971
710.15588,-37.6646
711.17682,-36.3732
712.19781,-36.5091
713.21875,-35.4188
714.23969,-36.4043
715.26062,-36.3095
716.28162,-36.3562
717.30255,-36.1367
718.32349,-40.0916
719.34442,-35.8634
720.36542,-36.9467
721.38635,-36.2557
722.40729,-37.6519
723.42828,-38.323
724.44922,-36.461
725.47015,-36.8419
726.49109,-37.3984
727.51208,-63.8156
728.53302,-36.4553
729.55396,-36.7159
730.57495,-11.389
731.59589,-36.1764
732.61682,-63.4899
733.63776,-36.1806
734.65875,-36.0631
735.67969,-36.2132
736.70062,-36.5162
737.72156,-37.2837
738.74255,-36.4171
739.76349,-36.3661
740.78442,-36.0574
741.80542,-36.4836
742.82635,-35.7147
743.84729,-63.5097
744.86823,-62.8399
745.88922,-36.301
746.91016,-35.7006
747.93109,-36.4992
748.95209,-35.3353
749.97302,-36.5247
750.99396,-36.0064
752.01489,-35.7162
753.03589,-36.4822
754.05682,-35.6043
755.07776,-35.8025
756.09869,-35.3508
757.11969,-35.7204
758.14063,-35.685
759.16156,-35.2574
760.18256,-36.1041
761.20349,-35.7261
762.22443,-35.6326
763.24536,-35.5717
764.26636,-34.6853
765.28729,-35.5434
766.30823,-33.299
767.32922,-35.2545
768.35016,-35.1837
769.37109,-35.981
770.39203,-35.5731
771.41302,-35.2984
772.43396,-35.3891
773.4549,-35.7813
774.47583,-35.6227
775.49683,-11.7402
776.51776,-35.4457
777.5387,-35.9668
778.55969,-35.1073
779.58063,-36.3774
780.60156,-35.137
781.6225,-34.0693
782.64349,-36.2245
783.66443,-35.6383
784.68536,-37.6547
785.70636,-35.6935
786.72729,-35.6949
787.74823,-35.8974
788.76917,-36.1565
789.79016,-35.8592
790.8111,-37.2101
791.83203,-3.7185
792.85297,-36.6975
793.87396,-36.3831
794.8949,-37.1775
795.91583,-36.0234
796.93683,-36.4313
797.95776,-35.9243
798.9787,-36.3194
799.99963,-23.3317
801.02063,-35.8351
802.04156,-35.8507
803.0625,-35.77
804.0835,-36.0334
805.10443,-36.039
806.12537,-36.2472
807.1463,-36.175
808.1673,-36.519
809.18823,-36.1254
810.20917,-36.3378
811.2301,-36.3888
812.2511,-36.3265
813.27203,-36.1424
814.29297,-36.6111
815.31396,-35.7275
816.3349,-35.8379
817.35583,-36.0617
818.37677,-36.1311
819.39777,-36.478
820.4187,-35.2149
821.43964,-36.284
822.46063,-36.1679
823.48157,-36.7201
824.5025,-36.5162
825.52344,-36.3222
826.54443,-37.1775
827.56537,-36.3859
828.5863,-18.8571
829.60724,-35.971
830.62823,-35.6539
831.64917,-50.658
832.6701,-36.5998
833.6911,-36.8292
834.71204,-36.4836
835.73297,-36.1155
836.75391,-36.6564
837.7749,-37.0118
838.79584,-72.626
839.81677,-36.7994
840.83777,-37.3757
841.8587,-36.9679
842.87964,-37.2341
843.90057,-36.5941
844.92157,-37.1152
845.9425,-37.0416
846.96344,-36.3718
847.98438,-39.4474
849.00537,-67.0781
850.02631,-35.8493
851.04724,-36.8376
852.06824,-36.8093
853.08917,-36.4029
854.11011,-36.2882
855.13104,-36.7683
856.15204,-36.175
857.17297,-36.4723
858.19391,-36.3845
859.2149,-36.0008
860.23584,-36.9354
861.25677,-36.5077
862.27771,-37.6207
863.29871,-36.941
864.31964,-36.7668
865.34058,-36.8858
866.36151,-36.2599
867.38251,-36.4468
868.40344,-37.6207
869.42438,-36.5771
870.44537,-37.3248
871.46631,-37.0713
872.48724,-36.6875
873.50818,-37.5513
874.52917,-36.9424
875.55011,-36.301
876.57104,-37.0755
877.59204,-36.2896
878.61298,-53.9459
879.63391,-35.9824
880.65485,-36.621
881.67584,-37.0231
882.69678,-37.7864
883.71771,-37.077
884.73865,-36.0957
885.75964,-5.9897
886.78058,-36.7102
887.80151,-63.2308
888.82251,-64.2121
889.84344,-37.4267
890.86438,-35.4854
891.88531,-37.4111
892.90631,-37.1747
893.92725,-37.3276
894.94818,-36.8716
895.96918,-36.6224
896.99011,-36.8985
